City,Lat,Lon,Maximum Temp,Humidity,Cloudiness,Wind,Country,Date
deputatskiy,69.3,139.9,39.49,68,7,3.31,RU,1623012084
torbay,47.6666,-52.7314,46.49,85,90,16.11,CA,1623012084
toyooka,35.5333,134.8333,65.28,72,99,5.17,JP,1623012085
pangnirtung,66.1451,-65.7125,37.4,81,75,12.66,CA,1623012085
victoria,22.2855,114.1577,80.96,87,39,5.99,HK,1623011986
port lincoln,-34.7333,135.8667,60.57,49,99,23.64,AU,1623012086
the pas,53.8251,-101.2541,60.82,77,75,11.56,CA,1623012086
galle,6.0367,80.217,80.28,84,89,11.83,LK,1623011904
avarua,-21.2078,-159.775,75.25,64,40,5.75,CK,1623012087
pontalina,-17.525,-49.4472,76.71,40,100,4.05,BR,1623012087
dana point,33.467,-117.6981,84.56,67,44,5.01,US,1623012088
eureka,40.8021,-124.1637,64.9,67,46,8.01,US,1623012088
coihaique,-45.5752,-72.0662,48.81,71,75,6.91,CL,1623012088
acapulco,16.8634,-99.8901,89.42,66,75,10.67,MX,1623012023
hithadhoo,-0.6,73.0833,82.76,73,8,12.88,MV,1623012089
port blair,11.6667,92.75,83.84,77,100,12.39,IN,1623012089
gamba,-2.65,10.0,75.58,95,91,4.81,GA,1623012090
acarau,-2.8856,-40.12,78.62,85,43,9.15,BR,1623012091
ambilobe,-13.2,49.05,71.53,88,84,3.4,MG,1623012091
qinhuangdao,39.9317,119.5883,68.76,53,100,8.32,CN,1623012092
portland,45.5234,-122.6762,62.4,60,90,5.01,US,1623011915
kavieng,-2.5744,150.7967,81.93,76,69,6.89,PG,1623012092
sechura,-5.5569,-80.8222,75.54,62,95,11.61,PE,1623012093
urumqi,43.801,87.6005,58.15,51,0,2.98,CN,1623012093
necochea,-38.5473,-58.7368,53.04,57,100,5.91,AR,1623011943
gizo,-8.103,156.8419,81.82,78,19,6.42,SB,1623012093
razdolinsk,58.4211,94.6658,48.51,99,100,5.1,RU,1623012094
chuy,-33.6971,-53.4616,51.49,78,100,5.08,UY,1623012095
fukue,32.6881,128.8419,69.12,72,100,2.06,JP,1623012095
kahului,20.8947,-156.47,83.46,68,20,20.71,US,1623012095
nanortalik,60.1432,-45.2371,44.92,72,100,15.37,GL,1623012096
bubaque,11.2833,-15.8333,79.41,85,43,17.94,GW,1623012025
lima,-12.0432,-77.0282,65.14,93,90,1.01,PE,1623011986
komsomolskiy,40.4272,71.7189,89.02,23,73,20.71,UZ,1623011846
port elizabeth,-33.918,25.5701,64.09,87,20,4.61,ZA,1623012097
itoman,26.1247,127.6694,75.97,94,75,8.05,JP,1623011827
tasiilaq,65.6145,-37.6368,44.76,90,98,4.43,GL,1623012044
poya,-21.35,165.15,70.07,60,89,7.45,NC,1623012098
smoky lake,54.1169,-112.4686,66.96,37,87,12.12,CA,1623012098
norilsk,69.3535,88.2027,31.42,98,100,4.12,RU,1623012098
hofn,64.2539,-15.2082,47.14,94,92,12.86,IS,1623012099
asau,46.4333,26.4,54.52,84,4,4.56,RO,1623012099
marsh harbour,26.5412,-77.0636,80.1,75,100,15.75,BS,1623012099
dunedin,-45.8742,170.5036,43.81,89,97,4.29,NZ,1623011949
concepcion del oro,24.6333,-101.4167,81.03,17,9,10.13,MX,1623012100
mega,4.05,38.3,60.53,65,18,5.26,ET,1623012100
esperance,-33.8667,121.9,53.44,61,100,29.04,AU,1623012101
san jose,37.3394,-121.895,85.71,41,20,4.0,US,1623011849
luau,-10.7073,22.2247,60.35,55,88,4.56,AO,1623012102
huron,41.1501,-82.5499,88.43,52,49,11.39,US,1623012102
rodotopion,39.7083,20.7258,69.37,63,85,1.14,GR,1623012102
lebanon,36.2081,-86.2911,77.22,83,40,9.22,US,1623012103
scalea,39.813,15.7956,70.12,64,34,2.62,IT,1623012104
labuan,5.2767,115.2417,80.96,94,20,1.01,MY,1623012104
kangaatsiaq,68.3065,-53.4641,36.99,91,54,11.27,GL,1623012104
tuatapere,-46.1333,167.6833,41.22,92,22,4.79,NZ,1623012105
new norfolk,-42.7826,147.0587,53.1,77,100,1.99,AU,1623012105
pidvynohradiv,48.1395,22.9719,61.81,82,12,6.4,UA,1623012106
asfi,32.2994,-9.2372,68.59,82,0,21.27,MA,1623012106
bengkulu,-3.8004,102.2655,73.78,90,36,4.07,ID,1623012106
monrovia,6.3005,-10.7969,80.37,84,98,7.92,LR,1623011947
olinda,-8.0089,-34.8553,78.53,69,75,11.83,BR,1623012107
bar harbor,44.3876,-68.2039,84.69,64,1,5.12,US,1623012107
vardo,70.3705,31.1107,41.2,70,20,11.5,NO,1623012108
dombarovskiy,50.7587,59.5386,61.79,33,100,9.51,RU,1623012108
winnipeg,49.8844,-97.147,78.03,48,40,5.75,CA,1623012091
rawatbhata,24.9333,75.5833,86.4,49,16,8.01,IN,1623012108
port said,31.2565,32.2841,71.58,83,0,11.5,EG,1623012109
tripoli,32.8752,13.1875,84.33,31,86,17.65,LY,1623012048
cayenne,4.9333,-52.3333,82.44,85,20,4.0,GF,1623011827
broome,42.2506,-75.833,90.01,45,75,3.0,US,1623012110
rafaela,-31.2503,-61.4867,54.43,62,12,7.81,AR,1623012110
bagdarin,54.4333,113.6,55.53,80,99,7.76,RU,1623012111
souillac,-20.5167,57.5167,75.58,78,75,10.49,MU,1623012111
neuquen,-38.9516,-68.0591,53.49,54,0,2.3,AR,1623011893
port moresby,-9.4431,147.1797,74.62,94,75,5.75,PG,1623012112
kolpashevo,58.3131,82.9089,54.88,96,99,9.73,RU,1623012112
san ramon,37.7799,-121.978,88.32,44,1,7.0,US,1623012113
severomuysk,56.1481,113.4267,37.06,89,100,6.33,RU,1623012113
la ronge,55.1001,-105.2842,62.85,51,75,9.22,CA,1623012113
rosetta,31.4044,30.4164,69.62,67,0,12.62,EG,1623012114
ambon,-3.6954,128.1814,80.15,81,100,9.62,ID,1623012027
chicama,-7.8447,-79.1469,66.74,74,99,9.69,PE,1623012114
yining,29.0361,114.5636,66.9,83,100,2.15,CN,1623012115
shimoda,34.6667,138.95,68.16,86,91,9.28,JP,1623012115
vlore,40.4667,19.4897,70.83,60,100,4.43,AL,1623012116
palafrugell,41.9174,3.1631,67.32,20,26,7.56,ES,1623012116
lata,40.1629,-8.3327,59.81,87,0,2.77,PT,1623012117
fortuna,40.5982,-124.1573,64.65,60,20,7.0,US,1623011912
yakeshi,49.2833,120.7333,50.88,74,2,4.97,CN,1623012117
kendari,-3.945,122.4989,73.71,94,32,3.0,ID,1623012118
qurayyat,31.3318,37.3428,75.38,25,0,14.85,SA,1623012118
magdagachi,53.45,125.8,58.24,50,100,1.59,RU,1623012118
porto torres,40.835,8.3972,67.1,88,51,7.38,IT,1623012119
saint-donat-de-montcalm,46.3187,-74.2219,84.06,70,58,11.03,CA,1623012058
dedovichi,57.5517,29.9502,58.17,87,49,7.63,RU,1623012120
phan thiet,10.9333,108.1,78.51,85,100,7.72,VN,1623012120
kurchum,48.5722,83.6542,53.74,55,0,4.52,KZ,1623012121
arboletes,8.8505,-76.4269,83.37,78,100,6.35,CO,1623012121
matata,-37.8833,176.75,60.96,87,100,16.26,NZ,1623012121
longyan,25.1072,117.0225,70.93,98,93,2.33,CN,1623012122
victoria point,-27.5833,153.3,55.18,89,53,1.01,AU,1623012122
oranjestad,12.524,-70.027,85.95,79,20,11.01,AW,1623012123
igrim,63.1906,64.4162,39.06,58,73,4.85,RU,1623012123
beringovskiy,63.05,179.3167,34.75,99,100,4.16,RU,1623012124
robe,-37.1833,139.75,60.42,72,100,29.62,AU,1623011837
gazojak,41.1875,61.4036,88.5,20,16,10.6,TM,1623012124
biltine,14.5333,20.9167,91.38,17,91,4.97,TD,1623012125
senneterre,48.3835,-77.2328,86.22,51,41,8.03,CA,1623012125
abadan,30.3392,48.3043,100.35,18,0,9.22,IR,1623012126
bagru,26.8088,75.5423,89.94,38,18,12.33,IN,1623012126
qingyuan,23.7,113.0333,80.58,81,13,3.29,CN,1623012127
alakurtti,66.9672,30.3491,53.64,53,3,3.53,RU,1623012127
harper,4.375,-7.7169,77.85,89,100,10.25,LR,1623011839
lasa,46.6166,10.7002,63.48,93,100,3.42,IT,1623012128
palauig,15.435,119.9045,81.9,79,100,7.16,PH,1623012128
itacare,-14.2775,-38.9967,78.69,89,1,7.56,BR,1623012129
port macquarie,-31.4333,152.9167,45.37,68,2,5.03,AU,1623012095
abha,18.2164,42.5053,71.85,21,0,0.96,SA,1623012129
alta floresta,-9.8756,-56.0861,93.02,43,40,4.61,BR,1623012130
saint george,37.1041,-113.5841,102.67,11,1,1.01,US,1623011999
moindou,-21.6924,165.677,62.55,61,94,8.86,NC,1623012130
puerto ayacucho,5.6639,-67.6236,86.32,68,77,2.68,VE,1623012131
chumikan,54.7183,135.315,37.51,91,100,0.83,RU,1623012131
labuhan,-6.8844,112.2051,77.72,86,18,5.32,ID,1623012131
dundalk,39.2507,-76.5205,96.89,53,40,6.67,US,1623012132
amapa,1.0,-52.0,74.95,96,100,2.55,BR,1623012125
uslar,51.6569,9.635,62.65,80,100,3.44,DE,1623012133
sheregesh,52.9209,87.9869,41.81,95,34,3.42,RU,1623012133
arroyo,41.6096,-4.7969,64.9,64,26,9.93,ES,1623012133
khandbari,27.3747,87.2039,72.54,79,87,2.84,NP,1623012134
yeniseysk,58.4497,92.1703,52.47,97,100,8.39,RU,1623012135
haines junction,60.7522,-137.5108,57.15,58,100,4.61,CA,1623012135
mecca,21.4267,39.8261,87.37,51,10,2.62,SA,1623012136
paso de carrasco,-34.8603,-56.0522,55.26,76,0,5.75,UY,1623012136
panama city,8.9936,-79.5197,87.75,75,40,9.22,PA,1623011921
kawalu,-7.3817,108.2082,71.71,98,94,0.92,ID,1623012137
georgetown,5.4112,100.3354,79.9,93,20,3.0,MY,1623012028
ostrovnoy,68.0531,39.5131,38.98,91,7,6.96,RU,1623012138
mocuba,-16.8392,36.9856,62.01,96,91,3.8,MZ,1623012138
kanniyakumari,8.0833,77.5667,80.62,84,100,16.35,IN,1623011958
nemuro,43.3236,145.575,52.74,85,47,4.29,JP,1623012128
prata,-19.3072,-48.9242,73.92,37,93,3.15,BR,1623012139
iroquois falls,48.7669,-80.6831,85.19,53,56,21.43,CA,1623012140
launceston,-41.45,147.1667,55.8,93,75,4.0,AU,1623012140
ayaviri,-14.8864,-70.5889,54.97,34,68,9.78,PE,1623012140
bilma,18.6853,12.9164,93.34,15,100,6.29,NE,1623012141
vestmanna,62.1564,-7.1664,49.12,100,90,11.07,FO,1623012080
muros,42.7762,-9.0603,64.24,78,45,10.49,ES,1623011850
lagoa,39.05,-27.9833,63.9,90,100,12.73,PT,1623012142
qaqortoq,60.7167,-46.0333,55.9,74,100,3.65,GL,1623012142
anadyr,64.75,177.4833,43.3,65,75,9.44,RU,1623012049
aksu,41.1231,80.2644,74.68,28,61,3.78,CN,1623011952
saint anthony,45.0205,-93.218,92.93,37,1,5.01,US,1623012142
bathsheba,13.2167,-59.5167,86.61,58,40,21.03,BB,1623012143
lavrentiya,65.5833,-171.0,34.88,86,99,4.25,RU,1623012143
sao paulo de olivenca,-3.3783,-68.8725,80.89,87,77,1.61,BR,1623012144
taywarah,33.35,64.4167,60.73,32,0,3.89,AF,1623012144
mason city,43.1536,-93.201,88.25,42,75,17.78,US,1623012024
codrington,-38.2667,141.9667,55.92,64,100,20.67,AU,1623012144
yar-sale,66.8333,70.8333,34.59,88,47,9.28,RU,1623012119
nelson,-41.2833,173.2833,56.7,95,100,3.0,NZ,1623011926
beidao,34.5686,105.8933,66.18,63,88,1.74,CN,1623012145
otavi,-19.65,17.3333,54.05,40,0,9.22,NA,1623012146
severo-yeniseyskiy,60.3725,93.0408,38.66,95,100,2.73,RU,1623012146
sao joao da barra,-21.6403,-41.0511,77.09,84,100,14.58,BR,1623012147
lorengau,-2.0226,147.2712,80.65,76,94,5.32,PG,1623012147
nouadhibou,20.931,-17.0347,67.98,77,40,23.02,MR,1623012148
ibra,22.6906,58.5334,79.25,80,0,5.41,OM,1623012148
nicoya,10.1483,-85.452,87.35,64,92,5.14,CR,1623012148
tadine,-21.55,167.8833,72.23,56,83,12.57,NC,1623012149
hohhot,40.8106,111.6522,61.09,67,0,3.96,CN,1623012149
mirabela,-16.2628,-44.1644,71.1,46,35,4.43,BR,1623012150
ilulissat,69.2167,-51.1,42.82,70,92,6.91,GL,1623012150
bijapur,16.8333,75.7,74.43,83,47,15.03,IN,1623012150
depok,-6.4,106.8186,79.63,93,94,3.51,ID,1623012151
guymon,36.6828,-101.4816,86.47,48,1,10.36,US,1623012151
soe,-9.8607,124.284,60.82,91,64,4.56,ID,1623012152
axim,4.8699,-2.2405,79.48,81,9,10.0,GH,1623012152
tura,25.5198,90.2201,72.21,98,73,5.91,IN,1623012152
lenger,42.183,69.8839,72.84,57,28,9.98,KZ,1623012153
fare,-16.7,-151.0167,80.6,72,22,9.82,PF,1623012153
monte gordo,37.1819,-7.4523,69.75,43,0,10.89,PT,1623012154
faanui,-16.4833,-151.75,80.89,76,70,10.8,PF,1623012154
el vigia,8.6219,-71.6506,78.37,88,100,1.5,VE,1623012155
joao pinheiro,-17.7425,-46.1725,74.16,44,99,4.16,BR,1623012155
bomet,-0.7813,35.3416,55.2,88,34,6.6,KE,1623012155
vao,-22.6667,167.4833,70.07,68,100,17.2,NC,1623012156
saldanha,-33.0117,17.9442,62.65,42,4,20.13,ZA,1623012156
aasiaat,68.7098,-52.8699,36.46,88,76,6.22,GL,1623012157
surt,31.2089,16.5887,74.32,47,21,12.59,LY,1623012158
umm lajj,25.0213,37.2685,84.38,45,0,10.51,SA,1623012158
atar,20.5169,-13.0499,99.03,15,9,17.02,MR,1623012067
sept-iles,50.2001,-66.3821,57.72,69,75,5.01,CA,1623011967
katsuura,35.1333,140.3,70.11,91,100,2.82,JP,1623012159
klaksvik,62.2266,-6.589,50.92,98,100,15.77,FO,1623012160
kharp,66.8014,65.8081,32.34,79,6,6.62,RU,1623012160
acari,-15.4311,-74.6158,73.13,59,2,6.51,PE,1623012161
porbandar,21.6422,69.6093,84.85,68,5,11.65,IN,1623012161
pisco,-13.7,-76.2167,67.01,72,20,8.05,PE,1623012161
alekseyevsk,57.8406,108.3492,40.6,90,75,3.96,RU,1623012162
misratah,32.3754,15.0925,73.98,58,67,16.04,LY,1623012067
airai,-8.9266,125.4092,54.95,80,57,2.66,TL,1623012163
pueblo,38.2545,-104.6091,89.55,24,1,8.99,US,1623012046
saint-leu,-21.15,55.2833,72.46,82,72,15.73,RE,1623012163
novosergiyevka,52.0934,53.6528,59.67,55,22,5.7,RU,1623012163
jining,35.405,116.5814,86.0,1,100,11.14,CN,1623012164
sobolevo,54.4299,31.8996,55.6,92,56,6.31,RU,1623012164
gat,31.61,34.7642,72.28,70,0,2.01,IL,1623012165
itaqui,-29.1253,-56.5531,61.84,82,100,15.84,BR,1623012165
vilhena,-12.7406,-60.1458,86.22,51,20,6.91,BR,1623012165
mahebourg,-20.4081,57.7,75.49,78,75,10.36,MU,1623012166
bang saphan,11.2126,99.5117,81.1,80,100,7.4,TH,1623012166
isangel,-19.55,169.2667,73.31,61,88,11.41,VU,1623012167
oranjemund,-28.55,16.4333,68.18,32,0,8.21,NA,1623012167
gryfice,53.9165,15.2003,59.25,74,7,5.57,PL,1623012167
san policarpo,12.1791,125.5072,77.65,88,100,4.32,PH,1623012168
kirakira,-10.4544,161.9205,80.64,83,86,8.23,SB,1623012169
puerto baquerizo moreno,-0.9,-89.6,76.19,83,75,11.5,EC,1623012169
locri,38.2414,16.2623,75.16,59,100,6.85,IT,1623012169
luderitz,-26.6481,15.1594,69.03,33,0,7.56,NA,1623012170
weligama,5.9667,80.4167,79.02,87,91,10.65,LK,1623012170
abalak,58.1286,68.5944,56.57,74,81,5.5,RU,1623012170
tyukhtet,56.5389,89.3011,53.85,96,100,12.8,RU,1623012171
ngerengere,-6.75,38.1167,71.67,83,84,2.73,TZ,1623012171
ishigaki,24.3448,124.1572,81.05,81,100,15.68,JP,1623012172
clyde river,70.4692,-68.5914,35.83,93,90,10.36,CA,1623012172
yuanping,38.7153,112.7575,67.19,33,100,0.6,CN,1623012173
